"Division","Name","ScenA_Total","ScenB_Total","ScenC_Total","ScenA_Mat","ScenA_Lab","ScenA_Sub","ScenA_LaborHrs"
"01","General Conditions","250495","220435","190376","19526","163768","67200","523"
"02","Existing Conditions","36000","31680","27360","0","0","36000","0"
"03","Concrete","138198","121614","105030","47589","48757","41851","381"
"04","Masonry","94316","82998","71680","39096","41520","13700","600"
"06","Wood, Plastics & Rough Carpentry","155418","136768","118117","70819","70599","14000","785"
"07","Thermal & Moisture Protection","50861","44757","38654","16361","14928","19571","84"
"08","Openings","65663","57783","49904","38742","23421","3500","210"
"09","Finishes","193330","170131","146931","69153","118417","5760","1620"
"10","Specialties","14134","12438","10742","3655","2779","7700","21"
"12","Furnishings (built-in)","22339","19658","16977","7586","3453","11300","21"
"21","Fire Suppression","53980","47502","41025","0","0","53980","0"
"22","Plumbing","89789","79014","68239","20414","21935","47440","354"
"23","HVAC","99371","87446","75522","22381","9490","67500","352"
"26","Electrical","134991","118792","102593","47663","40587","46742","359"
"27/28","Communications & Electronic Safety","36417","32047","27677","725","2300","33392","20"
"31","Earthwork","55656","48977","42299","2842","11390","20734","0"
"32","Exterior Improvements","32500","28600","24700","2250","1350","28900","0"
"33","Utilities","62000","54560","47120","0","0","62000","0"
