"Division","Item","Unit","Qty","PricedBy","CTC_Task","CTC_Desc","Mat","LaborHrs","LaborRate","Labor","Equip","Sub","Extended"
"01","Project Management – Weekly","each","26","CTC","01-002","Project Management and Coordination","0","26","$73/hr","1898","0","0","1898"
"01","Site superintendent (6 mo)","mo","6","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Mobilization / demobilization","ls","1","CTC","01-001","Mobilization and Demobilization","424","24","$73/hr","1752","283","0","2458"
"01","Temporary Power","each","6","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Temporary water / heat / enclosure","mo","6","CTC","01-003","Temporary Facilities and Controls","4068","48","$73/hr","3504","1356","0","8928"
"01","Portable Toilet – Monthly","each","6","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Safety / OSHA / PPE program","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Dumpster – 30 Yard","each","10","CTC","01-010","Construction Waste Disposal - Standard","0","3","$73/hr","183","339","0","522"
"01","Final Construction Cleanup","sqft","5920","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Testing & special inspections (Type IIIB + steel)","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Property Survey","each","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Structural Engineering","each","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Closeout / as-builts / O&M / commissioning","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"01","Schedule acceleration premium (6-mo, 8% on trade labor)","ls","1","CALC","","","0","0","n/a","27735","0","0","27735"
"02","Clearing & site preparation","sqft","4000","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"02","Erosion & sediment control (DOEE/SWM)","lf","280","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"02","New rear areaway excavation/retaining","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"03","Drilled piers 18"Ø×30" (4-#5 vert, #3 ties)","ea","10","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"03","Grade beams / foundation wall — 8" CIP","sqft","1584","CTC","03-010","Concrete Forming - Wall; to 8 ft height","3136","238","$73/hr","17345","903","0","21384"
"03","Concrete Pour – 4\","sqft","1480","CTC","03-001","Cast-in-Place Concrete - Sidewalk; 4" thick","9206","178","$73/hr","12965","3345","0","25515"
"03","Wire Mesh Placement","sqft","1480","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"03","Elevator pit (excavate/form/pour/waterproof)","ea","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"03","Exterior concrete (rear areaway, stoop, steps)","sqft","400","CTC","03-001","Cast-in-Place Concrete - Sidewalk; 4" thick","2488","48","$73/hr","3504","904","0","6896"
"03","Exterior Waterproofing","lf","176","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"04","Brick Veneer","sqft","600","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"04","Lintels, flashing, masonry accessories","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"05","Steel Beam Installation","lf","210","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"05","HSS 5×5×3/8 steel columns + base plates","lf","280","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"05","Steel connections, embeds, stair/rail steel, misc metals","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Floor System – I-Joist (TJI)","sqft","4440","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Subfloor Sheathing","sqft","4440","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Exterior Wall – 2x6","lf","528","CTC","06-001","Wood Framing - Interior Wall; 2x4; 16" OC","2688","106","$73/hr","7709","597","0","10993"
