"Division","Item","CatalogueCode","Allowance","Unit","Qty","Method","DimensionBasis","Sheet","Confidence","MatUnit","LaborHrs","LaborRate","LaborCost","EquipUnit","SubUnit","Extended","Note"
"01","Project Management – Weekly","GEN-PM-WEEKLY","no","each","26","CALC","6-mo schedule = 26 wk","","MED","0","208","salaried","20930","0","0","20930","Project management; weekly"
"01","Site superintendent (6 mo)","ALLOWANCE","YES","mo","6","ASSUMED","6-mo build","","LOW","0","760","salaried","57000","0","0","57000",""
"01","Mobilization / demobilization","ALLOWANCE","YES","ls","1","ASSUMED","","","LOW","0","0","salaried","0","0","18000","18000",""
"01","Temporary Power","GEN-TEMP-POWER","no","each","6","CALC","6 months","","MED","483","24","salaried","2415","0","0","5313",""
"01","Temporary water / heat / enclosure","ALLOWANCE","YES","mo","6","ASSUMED","","","LOW","0","0","salaried","0","0","5100","5100",""
"01","Portable Toilet – Monthly","GEN-PORT-TOILET","no","each","6","CALC","6 months","","MED","211.31","0","salaried","0","0","0","1268",""
"01","Safety / OSHA / PPE program","ALLOWANCE","YES","ls","1","ASSUMED","","","LOW","0","0","salaried","0","0","14000","14000",""
"01","Dumpster – 30 Yard","GEN-DUMP-30","no","each","10","CALC","","","MED","724.5","0","salaried","0","0","0","7245",""
"01","Final Construction Cleanup","GEN-CLEANUP-FINAL","no","sqft","5920","MEASURED","GSF 5;920","A001-A002","MED","0.3","59","salaried","3078","0","0","4854",""
"01","Testing & special inspections (Type IIIB + steel)","ALLOWANCE","YES","ls","1","ASSUMED","","A000/S101","LOW","0","0","salaried","0","0","18000","18000",""
"01","Property Survey","GEN-SURVEY","no","each","1","CALC","","","MED","724.5","0","salaried","0","0","0","725",""
"01","Structural Engineering","GEN-ENGINEER","no","each","1","CALC","","S101","MED","1449","0","salaried","0","0","0","1449","Structural — Denababa Eng."
"01","Closeout / as-builts / O&M / commissioning","ALLOWANCE","YES","ls","1","ASSUMED","","","LOW","0","0","salaried","0","0","9000","9000",""
"01","Schedule acceleration premium (6-mo compressed, 8% on trade labor)","ACCEL","YES","ls","1","CALC","8% × $542;305 self-perform trade labor","","MED","0","0","salaried","43384","0","0","43384","Overtime + parallel crews + reduced productivity for compressed schedule"
"02","Clearing & site preparation","ALLOWANCE","YES","sqft","4000","CALC","lot 4;000 SF (20'×100' / 40'×100')","A000","LOW","0","32","$73/hr","2336","4800","4800","11936",""
"02","Erosion & sediment control (DOEE/SWM)","ALLOWANCE","YES","lf","280","CALC","lot perimeter silt fence ~280 LF","A000","LOW","9.6","24","$73/hr","1744","0","4480","8912",""
"02","New rear areaway excavation/retaining","ALLOWANCE","YES","ls","1","MEASURED","rear areaway shown (scope note)","A000","LOW","0","0","$73/hr","0","0","12000","12000",""
"03","Drilled piers 18"Ø×30" (4-#5 vert, #3 ties)","ALLOWANCE","YES","ea","10","MEASURED","18"Ø×30" deep × ~10 at HSS cols/perimeter","S100","LOW","412.5","0","$73/hr","0","3300","9075","16500","Caisson foundation (S100)"
"03","Grade beams / foundation wall — 8" CIP","ALLOWANCE","YES","sqft","1584","CALC","P176 × 9' cellar = 1;584 SF","S100","LOW","8.5","144","$73/hr","10488","0","29621","53573",""
