"Division","Item","Unit","Qty","Method","Sheet","Confidence","CatalogueCode","Allowance"
"01","Project Management – Weekly","each","52","CALC","","MED","GEN-PM-WEEKLY","no"
"01","Site superintendent (12 mo)","mo","12","ASSUMED","","LOW","ALLOWANCE","YES"
"01","Mobilization / demobilization","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"01","Temporary Power","each","12","CALC","","MED","GEN-TEMP-POWER","no"
"01","Temporary water / heat / enclosure","mo","12","ASSUMED","","LOW","ALLOWANCE","YES"
"01","Portable Toilet – Monthly","each","12","CALC","","MED","GEN-PORT-TOILET","no"
"01","Safety / OSHA / PPE program","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"01","Dumpster – 30 Yard","each","10","CALC","","MED","GEN-DUMP-30","no"
"01","Final Construction Cleanup","sqft","5920","MEASURED","A001-A002","MED","GEN-CLEANUP-FINAL","no"
"01","Testing & special inspections (Type IIIB + steel)","ls","1","ASSUMED","A000/S101","LOW","ALLOWANCE","YES"
"01","Property Survey","each","1","CALC","","MED","GEN-SURVEY","no"
"01","Structural Engineering","each","1","CALC","S101","MED","GEN-ENGINEER","no"
"01","Closeout / as-builts / O&M / commissioning","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"02","Clearing & site preparation","ls","1","ASSUMED","A000","LOW","ALLOWANCE","YES"
"02","Erosion & sediment control (DOEE/SWM)","ls","1","ASSUMED","A000","LOW","ALLOWANCE","YES"
"02","New rear areaway excavation/retaining","ls","1","ASSUMED","A000","LOW","ALLOWANCE","YES"
"03","Concrete Footer","lf","176","MEASURED","A001","MED","FOUND-FOOTER-NEW","no"
"03","Foundation wall — 8" CIP (form+rebar+pour+strip)","sqft","1584","CALC","A001","LOW","ALLOWANCE","YES"
"03","Concrete Pour – 4\","sqft","1480","MEASURED","A001","MED","CONC-POUR-4","no"
"03","Rebar Placement","sqft","1480","CALC","A001","MED","CONC-REBAR","no"
"03","Elevator pit (excavate/form/pour/waterproof)","ea","1","MEASURED","A001","LOW","ALLOWANCE","YES"
"03","Exterior concrete (rear areaway, stoop, steps)","sqft","400","ASSUMED","A000","LOW","ALLOWANCE","YES"
"03","Exterior Waterproofing","lf","176","CALC","A001","MED","FOUND-WP-EXT","no"
"04","Brick Veneer","sqft","670","MEASURED","A004","MED","SID-BRICK-VEN","no"
"04","Lintels, flashing, masonry accessories","ls","1","ASSUMED","A004","LOW","ALLOWANCE","YES"
"05","Steel Beam Installation","lf","210","MEASURED","S101","MED","FOUND-STEEL-BEAM","no"
"05","HSS 5×5×3/8 steel columns + base/cap plates","lf","280","MEASURED","S101","LOW","ALLOWANCE","YES"
"05","Steel connections, embeds, stair/rail steel, misc metals","ls","1","ASSUMED","S101","LOW","ALLOWANCE","YES"
"06","Floor System – I-Joist (TJI)","sqft","4440","MEASURED","S101","MED","FRAME-FLOOR-TJI","no"
"06","Subfloor Sheathing","sqft","4440","MEASURED","S101","MED","FRAME-SHEATH-SUB","no"
"06","Exterior Wall – 2x6","lf","528","CALC","A004","MED","FRAME-WALL-2X6","no"
"06","Interior Wall – 2x4","lf","1100","CALC","A001-A002","MED","FRAME-WALL-2X4","no"
"06","Wall Sheathing – OSB/Plywood","sqft","5280","CALC","A004","MED","FRAME-SHEATH-WALL","no"
"06","Low-slope roof framing (PT 2x8 @24" + steel)","sqft","1480","MEASURED","S101/A003","LOW","ALLOWANCE","YES"
"06","Roof Sheathing – OSB/Plywood","sqft","1480","MEASURED","A003","MED","FRAME-SHEATH-ROOF","no"
"06","Stair Framing","each","4","MEASURED","A001-A002","MED","FRAME-STAIR","no"
"06","Elevator shaft framing & 2-hr rated enclosure","ea","1","MEASURED","A001","LOW","ALLOWANCE","YES"
"06","Blocking, backing, misc rough carpentry","sqft","5920","ASSUMED","","LOW","ALLOWANCE","YES"
"07","Batt Insulation – R-13/R-15","sqft","5280","CALC","A004","MED","FRAME-INSUL-BATT","no"
"07","Fiber Cement Siding – Lap","sqft","4700","MEASURED","A004/A005","MED","SID-FC-LAP","no"
"07","Roof / rigid insulation + air/vapor barrier","sqft","1480","ASSUMED","A003","LOW","ALLOWANCE","YES"
"07","House wrap / weather-resistive barrier","sqft","5280","ASSUMED","A004","LOW","ALLOWANCE","YES"
"07","TPO Flat Roof","sq","14.8","MEASURED","A003","MED","ROOF-FLAT-TPO","no"
"07","Gutters, downspouts, flashing, coping","ls","1","ASSUMED","A004","LOW","ALLOWANCE","YES"
"07","Firestopping / rated assemblies (Type IIIB)","sqft","5920","ASSUMED","A000","LOW","ALLOWANCE","YES"
"07","Sealants & caulking","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"08","Interior Door – Solid Core","each","40","MEASURED","A006/plans","MED","DOOR-INT-SOLID","no"
"08","Exterior Door – Steel","each","4","MEASURED","A004/A005","MED","DOOR-EXT-STEEL","no"
"08","Vinyl Double-Hung Window","each","35","MEASURED","A004/A005","MED","WIN-VIN-DH","no"
"08","Storefront / WELCOME entry glazing","ls","1","MEASURED","A004","LOW","ALLOWANCE","YES"
"08","Commercial hardware (levers, closers, panic)","ea","44","ASSUMED","A006","LOW","ALLOWANCE","YES"
"09","Drywall Hang – Standard 1/2\","sqft","20000","CALC","A001-A002","MED","DRY-HANG-STD","no"
"09","Drywall Tape & Finish – Level 4","sqft","20000","CALC","A001-A002","MED","DRY-TAPE-L4","no"
"09","Rated shaft/corridor drywall upgrade (Type X)","sqft","3500","ASSUMED","A000","LOW","ALLOWANCE","YES"
"09","Suspended ACT ceilings (cellar/kitchen/support)","sqft","1600","ASSUMED","A001","LOW","ALLOWANCE","YES"
"09","Porcelain Floor Tile","sqft","900","MEASURED","A001-A002","MED","FLR-TILE-PORC","no"
"09","Luxury Vinyl Plank (LVP)","sqft","4500","CALC","A001-A002","MED","FLR-LVP","no"
"09","Interior Wall Paint","sqft","20000","CALC","A001-A002","MED","PAINT-INT-WALL","no"
"09","Finish carpentry — base, casing, trim","sqft","5920","ASSUMED","","LOW","ALLOWANCE","YES"
"10","ADA Grab Bar","each","21","MEASURED","A001-A002","MED","BATH-ACC-GRAB","no"
"10","Toilet accessories sets (7 baths)","ea","7","ASSUMED","A001-A002","LOW","ALLOWANCE","YES"
"10","Signage — egress / ADA / room ID","ls","1","ASSUMED","A000","LOW","ALLOWANCE","YES"
"10","Fire extinguishers & cabinets","ea","8","ASSUMED","","LOW","ALLOWANCE","YES"
"10","Misc specialties (lockers, mail, corner guards)","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"12","Standard Vanity with Top","each","7","MEASURED","A001-A002","MED","BATH-VAN-STD","no"
"12","Common/kitchen casework & countertops (base-bldg)","lf","40","ASSUMED","A001","LOW","ALLOWANCE","YES"
"12","Closet/pantry shelving & built-ins (WICs 205/207)","ls","1","ASSUMED","A002","LOW","ALLOWANCE","YES"
"21","Sprinkler system — NFPA 13, full building","sqft","5920","MEASURED","A002","MED","ALLOWANCE","YES"
"21","Fire service / standpipe / FDC allowance","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"21","Sprinkler testing & certification","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"22","Standard Toilet","each","7","MEASURED","A001-A002","MED","BATH-TOIL-STD","no"
"22","Lavatories / sinks (7 baths + common + kitchen)","ea","12","MEASURED","P-plans","LOW","ALLOWANCE","YES"
"22","Standard Bathtub","each","7","MEASURED","A001-A002","MED","BATH-TUB-STD","no"
"22","DWV + water supply distribution (by fixture)","ea","36","CALC","P104/P105","LOW","ALLOWANCE","YES"
"22","Gas Line – New Run","lf","180","MEASURED","P102/P106","MED","PLUMB-GAS-LINE","no"
"22","Water heaters — commercial (2 × WH-1)","ea","2","MEASURED","E101/P","LOW","ALLOWANCE","YES"
"22","Laundry rough-in + sump pump","ls","1","MEASURED","A002/E101","LOW","ALLOWANCE","YES"
"22","Commercial-kitchen plumbing/gas rough-in (base-bldg)","ls","1","MEASURED","A001/P","MED","ALLOWANCE","YES"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","ea","4","MEASURED","E101/M103","LOW","ALLOWANCE","YES"
"23","Ductwork distribution","lf","900","ASSUMED","M103/M104","LOW","ALLOWANCE","YES"
"23","Controls / thermostats / zoning","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"23","Bathroom Exhaust Fan – Standard","each","7","MEASURED","M103","MED","BATH-VENT-STD","no"
"23","Kitchen hood curb, exhaust (KEF-1) & make-up air (MAU-1) ductwork (base-bldg)","ls","1","MEASURED","E101/M","MED","ALLOWANCE","YES"
"23","Elevator machine-room mini-split + TAB","ls","1","MEASURED","E101","LOW","ALLOWANCE","YES"
"26","Panel Upgrade – 400A","each","1","MEASURED","E101","MED","ELEC-PNL-400","no"
"26","Panel Upgrade – 200A","each","2","MEASURED","E101","MED","ELEC-PNL-200","no"
"26","Feeders & branch wiring (building-wide)","sqft","5920","ASSUMED","E102-E104","LOW","ALLOWANCE","YES"
"26","Lighting package (LED recessed/surface, interior/exterior)","sqft","5920","ASSUMED","E104","LOW","ALLOWANCE","YES"
"26","Wiring devices & plates","ea","220","ASSUMED","E102-E103","LOW","ALLOWANCE","YES"
"26","HVAC power / equipment connections (CU/AHU/MAU/KEF)","ea","10","ASSUMED","E101","LOW","ALLOWANCE","YES"
"26","Commercial-kitchen & walk-in electrical rough-in (base-bldg)","ls","1","MEASURED","E101","LOW","ALLOWANCE","YES"
"26","Elevator power rough-in, disconnect & cab-light circuit","ls","1","MEASURED","E101","LOW","ALLOWANCE","YES"
"26","Emergency & exit lighting (egress)","ea","24","ASSUMED","E104","LOW","ALLOWANCE","YES"
