"Division","Item","Qty","Unit","SubcontractorCost"
"01","Mobilization / demobilization","1","ls","18000"
"01","Temporary water / heat / enclosure","6","mo","5100"
"01","Safety / OSHA / PPE program","1","ls","14000"
"01","Testing & special inspections (Type IIIB + steel)","1","ls","18000"
"01","Closeout / as-builts / O&M / commissioning","1","ls","9000"
"02","Clearing & site preparation","4000","sqft","4800"
"02","Erosion & sediment control (DOEE/SWM)","280","lf","4480"
"02","New rear areaway excavation/retaining","1","ls","12000"
"03","Drilled piers 18"Ø×30" (4-#5 vert, #3 ties)","10","ea","9075"
"03","Grade beams / foundation wall — 8" CIP","1584","sqft","29621"
"03","Elevator pit (excavate/form/pour/waterproof)","1","ea","9500"
"03","Exterior concrete (rear areaway, stoop, steps)","400","sqft","5760"
"04","Lintels, flashing, masonry accessories","1","ls","5500"
"05","HSS 5×5×3/8 steel columns + base plates","280","lf","8680"
"05","Steel connections, embeds, stair/rail steel, misc metals","1","ls","14000"
"06","Elevator shaft framing & 2-hr rated enclosure","1","ea","14000"
"07","Roof / rigid insulation + air/vapor barrier","1480","sqft","2664"
"07","Gutters, downspouts, flashing, coping","1","ls","8500"
"07","Firestopping / rated assemblies (Type IIIB)","5920","sqft","3907"
"07","Sealants & caulking","1","ls","4500"
"08","Storefront / WELCOME entry glazing","1","ls","9500"
"09","Suspended ACT ceilings (cellar/kitchen/support)","1600","sqft","5760"
"10","Misc specialties (lockers, mail, corner guards)","1","ls","3500"
"12","Common/kitchen casework & countertops (base-bldg)","40","lf","4800"
"21","Sprinkler system — NFPA 13, full building","5920","sqft","38480"
"21","Fire service / standpipe / FDC","1","ls","12000"
"21","Sprinkler testing & certification","1","ls","3500"
"22","Lavatories / sinks (7 baths + common + kitchen)","12","ea","4092"
"22","DWV + water supply distribution (by fixture)","36","ea","17100"
"22","Water heaters — commercial (2 × WH-1)","2","ea","4200"
"22","Laundry rough-in + sump pump","1","ls","1920"
"22","Commercial-kitchen plumbing/gas rough-in (base-bldg)","1","ls","22000"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","4","ea","19600"
"23","Ductwork distribution","900","lf","9900"
"23","Controls / thermostats / zoning","4","ea","7500"
"23","Kitchen hood curb, exhaust (KEF-1) & make-up air (MAU-1) ductwork (base-bldg)","1","ls","26000"
"23","Elevator machine-room mini-split + TAB","1","ls","6500"
"26","Feeders & branch wiring (building-wide)","5920","sqft","22496"
"26","Lighting package (LED recessed/surface, interior/exterior)","65","ea","5915"
"26","Commercial-kitchen & walk-in electrical rough-in (base-bldg)","1","ls","11000"
"26","Elevator power rough-in, disconnect & cab-light circuit","1","ls","5200"
"27/28","Fire alarm system — addressable (R-2)","5920","sqft","15392"
"27/28","Security / access control / intercom / CCTV","1","ls","18000"
"31","Mass & foundation excavation (cellar)","550","cy","6930"
"31","Haul-off / spoil disposal","400","cy","6080"
"31","Backfill & compaction","180","cy","1224"
"32","Walks, steps & entry hardscape","500","sqft","5400"
"32","Site drainage / area drains","1","ls","9500"
"32","Landscaping, planter & site restoration","2520","sqft","6930"
"33","Domestic water service & tap","1","ls","18000"
"33","Sanitary sewer service & connection","1","ls","20000"
"33","Gas service & meter","1","ls","9000"
"33","Electrical service lateral / transformer coord (Pepco)","1","ls","15000"
