CSI,Division,Materials,Labor,Labor Hours,Equipment,Subcontractor,Total,$/Occupied GSF,$/Apartment,Confidence,Major Assumptions
10,Specialties,1231033.61722572,895054.86459936,13412.176079829176,111671.51817492,0,2237760,3.8917565217391306,4662,Medium,"One bath tissue dispenser per bathroom; One towel bar per bathroom; One shower rod per bathroom; Complete residential/common specialties, signage and mail/package systems."
11,Equipment,2192945.2580160005,1099728.9614880001,14865.320277752624,363005.7804960001,0,3655680.0000000005,6.357704347826088,7616.000000000001,Medium,One 20–22 CF refrigerator per unit; One 30-inch electric range per unit; One 24-inch dishwasher per unit; Complete appliance and common-equipment packages; retail equipment excluded.
12,Furnishings and Casework,1017071.7113952001,588702.8652792,8821.567034730164,83825.42332560002,0,1689600.0000000002,2.938434782608696,3520.0000000000005,Medium,"Twenty-four SF countertop per unit; Countertop sink/faucet cutouts; Complete casework, counters, blinds and amenity furnishings allowance."
13,Special Construction,449680.40278992004,399643.0882982401,5402.0787961292,149676.50891184,0,999000.0000000001,1.7373913043478262,2081.2500000000005,Low,"Entry canopies and amenity shade structures; Pool access ladders; pool vessel carried as unresolved allowance; Pool vessel/equipment, canopies and normal site amenities."
14,Conveying Equipment,1164220.1160559999,1043222.1295089998,14101.502842125183,730557.7544349999,0,2937999.9999999995,5.109565217391304,6120.833333333332,Medium,"Eight 3,000-lb six-stop traction elevators; final code/core analysis required; Eight complete elevator systems including controls and normal cab allowance."
21,Fire Suppression,1954233.47973871,1921848.808714516,21491.42074515249,420157.7115467742,0,4296240,7.471721739130435,8950.5,Medium,"Light-hazard wet-pipe coverage; Garage ordinary-hazard wet-pipe coverage; Complete sprinkler distribution, standpipe/fire-pump allowance and garage coverage."
22,Plumbing,4633160.35995264,5737663.456372799,61932.38047118863,1141976.18367456,0,11512800,20.02226086956522,23985,Medium,One water closet per bathroom; One tub/shower assembly per bathroom; One kitchen sink per unit; One kitchen faucet per unit
23,HVAC,10299357.457372801,10290618.7008768,108373.0663403047,2283523.8417504,0,22873500,39.78,47653.125,Medium,"One packaged terminal heat pump per studio/1BR; One 17,500-BTU ductless heat pump per 2BR; One 24,200-BTU ductless heat pump per 3BR; Retail/common-area packaged rooftop units at approximately one/3,300 SF"
26,Electrical,7817448.26046912,10719224.54618664,119977.66537226144,973077.19334424,0,19509750,33.93,40645.3125,Medium,"One complete 100A, 24-circuit apartment panelboard; Twenty-four duplex device/box equivalents per unit; Twenty-foot site light poles; LED area fixtures"
27,Communications,1339502.007744,1487427.19296,16648.409710387437,148695.79929599998,0,2975625,5.175,6199.21875,Medium,"Communications cable supports; backbone/cable allowance; Complete telecom backbone, cabling, pathways and rooms."
28,Electronic Safety and Security,1653991.2748206,1837660.7742539998,20568.488745728566,183747.95092540001,0,3675399.9999999995,6.3919999999999995,7657.083333333332,Medium,"One intelligent fire-alarm CPU per building; Complete fire alarm, access control, CCTV and security."
31,Earthwork,311244.03899999993,711934.8809999998,10673.686371814092,1010821.0799999998,0,2033999.9999999998,3.5373913043478256,4237.499999999999,Low,"Conceptual cut/shape/rough-grade volume over 78% disturbed site; Conceptual bulk excavation in soil; Clearing, grading, erosion control and normal soil handling."
32,Exterior Improvements,750920.2673750003,638305.1843333333,9569.792868565717,234774.5482916667,0,1624000.0000000002,2.824347826086957,3383.333333333334,Low,Six-inch aggregate base at roads and surface parking; Asphalt binder course at roads and surface parking; Four-inch concrete walks; Concrete curb and gutter
33,Utilities,3036651.800144,2966071.585904,32015.797956737617,1472276.613952,0,7474999.999999999,12.999999999999998,15572.916666666664,Low,Conceptual eight-inch water distribution; Conceptual eight-inch PVC sanitary sewer; Conceptual 24-inch RCP storm drainage; Six-foot-deep catch basins
01,General Requirements,1748398.7209920003,4183062.1272,98843.62304347826,1023031.4985,0,6954492.346692,12.094769298594782,14488.525722274999,Medium,Four 40-CY pulls/month × 36 months; Six full-day subsurface survey visits/building; One vanity per bathroom; Two residential exhaust fans per unit
02,Existing Conditions,8257.155509760001,37149.199845120005,877.8166315009454,37093.64464512,0,82500,0.14347826086956522,171.875,Low,Eight large stump removals; existing conditions unresolved; Minor existing-conditions allowance; demolition survey absent.
03,Concrete,16074616.931199376,14252726.889355002,257343.76154403805,5331856.179445624,0,35659200,62.016,74290,Low,6-inch slab-on-grade at building and garage ground footprints; 6-inch elevated garage decks plus 9-inch equivalent podium transfer slab; Welded reinforcing fabric at slabs; Conceptual continuous footing concrete
04,Masonry,1649066.865264,1940763.2196,27162.726395566096,308669.915136,0,3898500,6.78,8121.875,Medium,"CMU stairs, shafts, service and garage walls; Complete CMU, masonry veneer and accessories."
05,Metals,7694382.262499999,6124591.289999999,73641.19962004616,1523716.4474999998,0,15342689.999999998,26.68293913043478,31963.937499999996,Low,"Composite deck at garage elevated floors and podium; Conceptual cold-formed/secondary steel joist length; Primary/miscellaneous metals, podium/garage steel and railings."
06,"Wood, Plastics and Composites",7369817.313328868,8602068.68912169,128899.87471430356,1367963.9975494444,0,17339850,30.156260869565216,36124.6875,Medium,2x6 stud length derived from residential GSF; 2x10 joist length equivalent for wood-framed floor assemblies; Exterior structural sheathing area; Eleven 24-inch base/wall cabinet equivalents per apartment
07,Thermal and Moisture Protection,6212547.294186259,6182017.001286569,87494.57938867994,1370935.704527171,0,13765499.999999998,23.939999999999998,28678.124999999996,Medium,R-21 exterior wall insulation area; Exterior water-resistive membrane/air barrier; 65% fiber-cement cladding baseline; 60-mil fully adhered TPO roof; CTC unit is roofing square
08,Openings,9301668.418531502,6749892.713972,95113.78909727829,841938.8674965,0,16893500,29.38,35194.791666666664,Medium,"Four/six/eight windows by unit type; Building, amenity and retail entrance doors; 10-foot retail storefront framing; Unit entries plus rated common/core frames"
09,Finishes,9128986.806344323,12354749.509901043,190449.5735400144,1115623.6837546402,0,22599360.000000004,39.303234782608705,47082.00000000001,Medium,3.2 SF Type-X board per residential GSF; Tape and finish matching board area; LVP at 70% of apartment NSF; Ceramic floor tile at 12% of apartment NSF
