Line,CTC Item ID,Description,CSI,Division,UOM,Quantity,Quantity Basis,Quantity Class,Material Unit 2023,Labor Unit 2023,Equipment Unit 2023,Published Direct Unit 2023,Labor Hours,CTC Labor Rate 2023,Current Labor Rate,Labor Rate Source Task,Mapped Trade,Labor Hours Method,Waste %,Location Factor,Productivity Factor,Labor Esc.,Material Esc.,Equipment Esc.,Material,Labor,Equipment,Subcontractor,Extended,Price Date,Source,Confidence,Notes
1,01 74 19 00-0016,"40 CY Dumpster (6 Ton) ""Construction Debris""",01,General Requirements,EA,144,Four 40-CY pulls/month × 36 months,Benchmark assumption,212.495,509.988,127.497,849.98,1995.6052173913044,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,35299.329408000005,84454.0128,20654.514,0,140407.856208,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 87",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
2,01 71 36 00-0005,">4 To 8 Hours On Site, Electromagnetic (SIR/GPR) Survey, Earth, Concrete, Masonry Or Asphalt",01,General Requirements,EA,24,Six full-day subsurface survey visits/building,Benchmark assumption,809.19,1942.056,485.514,3236.76,1266.5582608695654,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,22403.558016000006,53600.745599999995,13108.878,0,89113.181616,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 86",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
3,02 90 20 00-0003,"Removal And Hauling Of >24"" To 48"" Stumps",02,Existing Conditions,EA,8,Eight large stump removals; existing conditions unresolved,Benchmark assumption,61.728,277.776,277.776,617.28,60.386086956521744,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,569.6753664,2555.5391999999997,2499.984,0,5625.1985664,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 151",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
4,03 31 13 00-0005,"6"" 3,000 PSI Slab On Grade Concrete Slabs Assembly",03,Concrete,SF,147500,6-inch slab-on-grade at building and garage ground footprints,Calculated,3.5235,3.132,1.1745,7.83,9592.400332225914,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,611186.3099999999,531265.5,194893.59375000003,0,1337345.40375,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 220",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
5,03 31 13 00-0050,"Up To 6"", By Concrete Pump, Place 3,000 PSI Elevated Concrete Slab",03,Concrete,CY,3680.5555555555557,6-inch elevated garage decks plus 9-inch equivalent podium transfer slab,Calculated,97.8615,86.988,32.6205,217.47,6647.9270487264685,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,423577.1925000001,368188.7916666666,135069.2578125,0,926835.2419791667,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 228",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
6,03 22 11 00-0004,"6"" x 6"" x #6, 42 LB/CSF, Plain Welded Wire Fabric Reinforcing Placed In Floors Or Slabs (W2.9 x W2.9)",03,Concrete,SF,226250,Welded reinforcing fabric at slabs,Calculated,0.495,0.44,0.165,1.1,2067.0681063122925,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,131704.65,114482.5,41997.65625,0,288184.80625,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 217",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
7,03 31 13 00-0019,"Concrete Pump, Place 3,000 PSI Concrete Continuous Footings",03,Concrete,CY,4800,Conceptual continuous footing concrete,Benchmark assumption,98.4285,87.492,32.8095,218.73,8720.13289036545,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,555609.1968,482955.83999999997,177171.30000000002,0,1215736.3368,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 222",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
8,03 11 13 00-0003,Continuous Footings Foundation Wood Formwork,03,Concrete,SF,42000,Conceptual continuous-footing contact form area,Benchmark assumption,2.0385,1.812,0.6795,4.53,1580.232558139535,48.16,55.38399999999999,01 22 20 00-0008,Cement Mason,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,100685.59200000002,87519.6,32106.375,0,220311.56700000004,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 168",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
9,04 22 23 13-0006,"8"" x 8"" x 16"", Cored, Lightweight, Concrete Block",04,Masonry,SF,90000,"CMU stairs, shafts, service and garage walls",Calculated,4.3218,5.145,0.8232,10.29,7452.9212940608395,62.13,71.4495,01 22 20 00-0005,Brick Layer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,466132.06080000004,532507.4999999999,83349,0,1081988.5607999999,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 297",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
10,05 36 00 00-0042,"1-1/2"" Deep x 18 Gauge Composite Metal Deck Galvanized, Non Cellular",05,Metals,SF,158750,Composite deck at garage elevated floors and podium,Calculated,2.94,2.352,0.588,5.88,5162.887168141592,72.32,83.16799999999999,01 22 20 00-0033,Structural Steel Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,548868.6,429386.99999999994,105013.125,0,1083268.7249999999,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 456",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
