Months,LTC,Interest Rate,Loan Before Interest,Capitalized Interest,Lender Fee,Legal,Appraisal,Inspections,Total Financing
30,0.65,0.075,224938431.19902438,20813625.238523815,2249384.311990244,225000,75000,255000,23618009.550514057
30,0.65,0.085,224938431.19902438,23588775.27032699,2249384.311990244,225000,75000,255000,26393159.582317233
30,0.65,0.095,224938431.19902438,26363925.30213017,2249384.311990244,225000,75000,255000,29168309.614120413
30,0.7,0.075,242241387.4451031,22414673.333794877,2422413.874451031,225000,75000,255000,25392087.208245907
30,0.7,0.085,242241387.4451031,25403296.444967523,2422413.874451031,225000,75000,255000,28380710.319418553
30,0.7,0.095,242241387.4451031,28391919.556140177,2422413.874451031,225000,75000,255000,31369333.430591207
30,0.75,0.075,259544343.69118202,24015721.429065946,2595443.4369118204,225000,75000,255000,27166164.865977768
30,0.75,0.085,259544343.69118202,27217817.619608074,2595443.4369118204,225000,75000,255000,30368261.056519896
30,0.75,0.095,259544343.69118202,30419913.810150195,2595443.4369118204,225000,75000,255000,33570357.24706201
36,0.65,0.075,224938431.1990243,24961430.450386573,2249384.311990243,225000,75000,306000,27816814.762376815
36,0.65,0.085,224938431.1990243,28289621.177104782,2249384.311990243,225000,75000,306000,31145005.489095025
36,0.65,0.095,224938431.1990243,31617811.90382299,2249384.311990243,225000,75000,306000,34473196.215813234
36,0.7,0.075,242241387.4451031,26881540.485031687,2422413.874451031,225000,75000,306000,29909954.359482717
36,0.7,0.085,242241387.4451031,30465745.88303592,2422413.874451031,225000,75000,306000,33494159.75748695
36,0.7,0.095,242241387.4451031,34049951.28104014,2422413.874451031,225000,75000,306000,37078365.15549117
36,0.75,0.075,259544343.69118178,28801650.519676805,2595443.4369118176,225000,75000,306000,32003093.956588622
36,0.75,0.085,259544343.69118178,32641870.588967055,2595443.4369118176,225000,75000,306000,35843314.02587888
36,0.75,0.095,259544343.69118178,36482090.65825728,2595443.4369118176,225000,75000,306000,39683534.0951691
42,0.65,0.075,224938431.19902423,29126482.222779393,2249384.3119902425,225000,75000,357000,32032866.534769636
42,0.65,0.085,224938431.19902423,33010013.185816653,2249384.3119902425,225000,75000,357000,35916397.49780689
42,0.65,0.095,224938431.19902423,36893544.1488539,2249384.3119902425,225000,75000,357000,39799928.460844144
42,0.7,0.075,242241387.44510308,31366980.855300885,2422413.874451031,225000,75000,357000,34446394.729751915
42,0.7,0.085,242241387.44510308,35549244.969341,2422413.874451031,225000,75000,357000,38628658.843792036
42,0.7,0.095,242241387.44510308,39731509.08338112,2422413.874451031,225000,75000,357000,42810922.95783215
42,0.75,0.075,259544343.69118184,33607479.48782237,2595443.4369118186,225000,75000,357000,36859922.92473419
42,0.75,0.085,259544343.69118184,38088476.75286535,2595443.4369118186,225000,75000,357000,41340920.18977717
42,0.75,0.095,259544343.69118184,42569474.01790835,2595443.4369118186,225000,75000,357000,45821917.45482017
