CSI,Trade,Labor Hours,Conceptual Concurrent Crew,Duration Weeks at One Crew,Note
10,Specialties installers,13412.176079829176,16,20.956525124733087,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
11,Equipment installers,14865.320277752624,24,15.484708622658983,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
12,Casework / furnishings,8821.567034730164,20,11.026958793412705,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
13,Special construction / pool,5402.0787961292,12,11.254330825269166,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
14,Elevator constructor,14101.502842125183,16,22.033598190820598,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
21,Fire sprinkler fitter,21491.42074515249,24,22.386896609533842,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
22,Plumbing,61932.38047118863,56,27.648384138923497,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
23,HVAC / sheet metal,108373.0663403047,56,48.38083318763602,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
26,Electrical,119977.66537226144,64,46.86627553603962,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
27,Low voltage / communications,16648.409710387437,20,20.810512137984297,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
28,Fire alarm / security,20568.488745728566,16,32.13826366520088,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
31,Earthwork,10673.686371814092,24,11.118423303973012,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
32,Paving / landscape / site electrical,9569.792868565717,36,6.6456894920595255,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
33,Site utilities,32015.797956737617,28,28.5855338899443,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
01,General conditions / laborers,98843.62304347826,12,205.92421467391304,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
02,Demolition / environmental,877.8166315009454,8,2.7431769734404545,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
03,Concrete / reinforcing,257343.76154403805,36,178.7109455166931,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
04,Masonry,27162.726395566096,20,33.95340799445762,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
05,Ironworkers / misc. metals,73641.19962004616,24,76.70958293754808,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
06,Carpentry / casework,128899.87471430356,80,40.281210848219864,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
07,Roofing / waterproofing / insulation,87494.57938867994,32,68.3551401474062,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
08,Glazing / doors / hardware,95113.78909727829,28,84.92302597971276,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
09,Drywall / flooring / painting,190449.5735400144,100,47.6123933850036,"Crews overlap by building and phase; duration is a production check, not the critical-path schedule."
