Month,Phase,Project Draw,Loan Draw,Opening Loan Balance,Closing Loan Balance,Monthly Interest
1,1,1475111.6086195104,1032578.1260336572,5250000,6282578.126033657,40844.54752970253
2,1,1475111.6086195104,1032578.1260336572,6282578.126033657,7315156.252067314,48158.642589107614
3,1,1475111.6086195104,1032578.1260336572,7315156.252067314,8347734.378100972,55472.73764851268
4,1,2406564.9941931013,1684595.495935171,8347734.378100972,10032329.874036143,65096.06089298561
5,1,3520334.910053088,2464234.4370371616,10032329.874036143,12496564.311073303,79789.83357226262
6,1,4717622.7541701505,3302335.927919105,12496564.311073303,15798900.238992408,100213.10361481608
7,1,5961322.380980046,4172925.6666860315,15798900.238992408,19971825.90567844,126687.98842904258
8,1,7219852.349964252,5053896.644974976,19971825.90567844,25025722.550653417,159366.31744950867
9,1,8465801.724979518,5926061.207485662,25025722.550653417,30951783.758139078,198253.66817697344
10,1,9675107.924471095,6772575.547129766,30951783.758139078,37724359.30526885,243228.00668290307
11,1,10826521.866571443,7578565.30660001,37724359.30526885,45302924.61186886,294054.9638731961
12,1,11901243.294293994,8330870.3060057955,45302924.61186886,53633794.91787466,350400.8816678417
13,1,12882664.414565755,9017865.090196028,53633794.91787466,62651660.008070685,411844.3195293898
14,1,13756186.71447335,9629330.700131344,62651660.008070685,72280990.70820203,477886.47128679923
15,1,14509089.911251454,10156362.937876018,72280990.70820203,82437353.64607805,547960.8029214087
16,1,15130439.968754869,10591307.978128407,82437353.64607805,93028661.62420645,621442.137415591
17,1,15611027.922476934,10927719.545733854,93028661.62420645,103956381.16994031,697655.3598959366
18,1,15943334.344153997,11160334.040907796,103956381.16994031,115116715.21084811,775883.8830152923
19,1,16121516.408427646,11285061.485899352,115116715.21084811,126401776.69674745,855377.9921727343
20,1,16141416.132539682,11298991.292777777,126401776.69674745,137700767.98952523,935363.1790972158
21,1,16000589.719857153,11200412.803900005,137700767.98952523,148901180.79342523,1015048.5686062829
22,2,15698359.250968473,10988851.47567793,148901180.79342523,159890032.26910317,1093635.5462631213
23,2,15235889.416389957,10665122.591472968,159890032.26910317,170555154.86057615,1170326.7044176145
24,2,14616293.785433667,10231405.649803566,170555154.86057615,180786560.51037973,1244335.2419388022
25,2,13844777.553970644,9691344.28777945,180786560.51037973,190477904.79815918,1314894.9813010755
26,2,12928827.280970478,9050179.096679334,190477904.79815918,199528083.8948385,1381271.2099543668
27,2,11878463.620705245,8314924.534493671,199528083.8948385,207843008.4293322,1442772.6186481046
28,2,10706581.971868563,7494607.380307994,207843008.4293322,215337615.8096402,1498764.7108463608
29,2,9429421.19732223,6600594.838125561,215337615.8096402,221938210.64776576,1548685.2187033128
30,2,8067228.168671825,5647059.718070277,221938210.64776576,227585270.36583602,1592062.3285898399
31,2,6645239.523697744,4651667.666588421,227585270.36583602,232236938.03242445,1628536.9880771728
32,2,5195215.780080718,3636651.0460565025,232236938.03242445,235873589.07848096,1657891.4501844568
33,2,3758033.597951175,2630623.5185658224,235873589.07848096,238504212.5970468,1680088.0476008274
34,2,2388597.994269997,1672018.5959889977,238504212.5970468,240176231.19303578,1695326.5717565427
35,2,1475111.6086195104,1032578.1260336572,240176231.19303578,241208809.31906945,1704905.3518137063
36,2,1475111.6086195104,1032578.1260336572,241208809.31906945,242241387.4451031,1712219.4468731114
