Rate,LTV,DSCR Target,TDC Value Proxy,Loan,Annual Debt Service,Required NOI,Debt Yield at Threshold,Cash Flow After Debt at Threshold,Warning
0.0575,0.6,1.25,379553284.6790628,227731970.80743766,15947783.604913842,19934729.506142303,0.08753592846653238,3986945.9012284614,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0575,0.6,1.3,379553284.6790628,227731970.80743766,15947783.604913842,20732118.686387993,0.09103736560519367,4784335.081474151,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0575,0.65,1.25,379553284.6790628,246709635.0413908,17276765.57199,21595956.964987498,0.08753592846653238,4319191.3929975,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0575,0.65,1.3,379553284.6790628,246709635.0413908,17276765.57199,22459795.243587,0.09103736560519368,5183029.671597,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0575,0.7,1.25,379553284.6790628,265687299.27534392,18605747.53906615,23257184.42383269,0.0875359284665324,4651436.884766538,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0575,0.7,1.3,379553284.6790628,265687299.27534392,18605747.53906615,24187471.800785996,0.09103736560519368,5581724.261719845,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.6,1.25,379553284.6790628,227731970.80743766,16826218.98157691,21032773.726971135,0.09235758006395917,4206554.745394226,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.6,1.3,379553284.6790628,227731970.80743766,16826218.98157691,21874084.67604998,0.09605188326651753,5047865.694473073,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.65,1.25,379553284.6790628,246709635.0413908,18228403.896708317,22785504.870885395,0.09235758006395915,4557100.974177077,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.65,1.3,379553284.6790628,246709635.0413908,18228403.896708317,23696925.06572081,0.09605188326651752,5468521.169012494,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.7,1.25,379553284.6790628,265687299.27534392,19630588.811839726,24538236.01479966,0.09235758006395917,4907647.202959932,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0625,0.7,1.3,379553284.6790628,265687299.27534392,19630588.811839726,25519765.455391645,0.09605188326651755,5889176.64355192,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.6,1.25,379553284.6790628,227731970.80743766,17724782.735211905,22155978.419014882,0.09728971448523237,4431195.683802977,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.6,1.3,379553284.6790628,227731970.80743766,17724782.735211905,23042217.55577548,0.10118130306464167,5317434.820563573,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.65,1.25,379553284.6790628,246709635.0413908,19201847.96314623,24002309.953932784,0.09728971448523234,4800461.990786556,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.65,1.3,379553284.6790628,246709635.0413908,19201847.96314623,24962402.352090098,0.10118130306464165,5760554.38894387,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.7,1.25,379553284.6790628,265687299.27534392,20678913.19108055,25848641.48885069,0.09728971448523235,5169728.297770139,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
0.0675,0.7,1.3,379553284.6790628,265687299.27534392,20678913.19108055,26882587.148404717,0.10118130306464164,6203673.957324166,Uses TDC as a temporary value proxy; stabilized appraisal and operating pro forma were not provided.
